"card","elo","mainboard","pickrate","picks","mainboards"
"0b8c3337-04dd-4798-8203-6d8b8cfb936b","756","1","0.03488372093023256","6","1"
"bf1341dd-41a3-49f6-87ec-63170dde4324","936","1","0.023255813953488372","3","2"
"0fd57894-b917-41c8-a394-360d1d31b236","1260","0","0.10270270270270271","19","0"
"0c23fefe-9891-4dd8-9bb1-eebdb3274e31","1380","1","0.14516129032258066","27","12"
"f3abd4d1-a975-4e85-8684-aa0fce029670","1100","0","0.09032258064516129","14","0"
"3bc8a406-3ae7-4f56-a33c-b4a2c115b917","1098","0","0.07333333333333333","11","0"
"d64e9152-ef24-4394-aeb0-9c3befc56549","1134","0","0.07303370786516854","13","0"
"f1750962-a87c-49f6-b731-02ae971ac6ea","1304","0.5","0.08490566037735849","9","1"
"7bc4c7e2-6758-4a85-84e7-03ab93981106","1178","0.5","0.11363636363636363","30","6"
"6e9ef5ef-6aed-4d3e-a59b-9e3dc8740b1b","1180","1","0.09243697478991597","11","1"
"ed7bdb3e-5c51-4547-9266-76a791e0b2b0","1062","0","0.05421686746987952","9","0"
"70486bee-6ee7-41ea-b834-8caf4699302b","1002","0","0.0873015873015873","11","0"
"0c85b8f7-0bd0-4680-9ec5-d4b110460a54","1356","0","0.11382113821138211","14","0"
"05e9b55e-6329-48ec-b7d7-24c6b9692244","884","0","0.10416666666666667","25","0"
"0c4bc9ea-a5fd-4f44-96a1-5448eee228c4","730","0","0.018072289156626505","3","0"
"e9da499c-fa43-4e94-8395-5c030ff39502","1320","1","0.10588235294117647","18","5"
"0e26b429-0469-474a-818a-2d4696c38a05","1154","0.2857142857142857","0.0718562874251497","12","2"
"6bae00e8-06cf-4ac4-a1cc-757e454109fe","1066","1","0.10526315789473684","12","1"
"d1a60f44-7696-49ee-91fb-cab5b3102962","1296","0","0.08208955223880597","11","0"
"15d5b198-edbe-40f3-87e2-d72f7f0c58ab","1156","1","0.09859154929577464","14","7"
"c396db03-bf11-4e20-b630-4f9aa8fd78da","1540","1","0.140625","18","9"
"3bc757c1-3adb-4321-8832-8e1cc9e687f7","1064","0","0.09411764705882353","16","0"
"e6e4a8bd-5c40-4654-8de1-0da9afed90fd","1232","0","0.08280254777070063","13","0"
"bffdfe7b-f17a-41b6-a460-80280fe497d4","1264","0.3333333333333333","0.12624584717607973","38","4"
"00625242-9348-4ef4-b975-f2ac82fee21d","1064","0.5","0.10638297872340426","20","3"
"33c722cf-b4bf-431f-aefd-ee96241a7fbf","1336","0.5714285714285714","0.10714285714285714","15","4"
"f1c2dbe2-fbe0-4058-bdf1-91d1b1832786","1220","1","0.12030075187969924","16","3"
"dafd2713-d1bc-474b-b390-d2ff20b5375e","1114","0","0.04430379746835443","7","0"
"1861e642-21d5-4232-89f3-b5557f2946c1","968","0.25","0.0446927374301676","8","1"
"d5d91377-fd66-4dbe-a092-07f2ea379ca7","672","1","0.023391812865497075","4","1"
"265236d1-d96c-4424-835e-a0fe91c41170","1270","1","0.09770114942528736","17","6"
"2111588d-9af5-4a33-989e-b074d83f0463","1848","1","0.3870967741935484","36","10"
"6a23963c-21dc-4d21-8d28-5abad7f859a1","960","0","0.09375","18","0"
"cb9994b9-924b-4e10-9075-9cfbec88f2bf","1182","1","0.08496732026143791","13","6"
"f748b2fb-6c2a-400a-8e96-fa4e4a1dfe80","1108","1","0.05172413793103448","6","1"
"c7a15ca4-085f-4d92-8387-c3711c04c8fa","1224","1","0.08396946564885496","11","4"
"d38937a6-ab1c-4de8-a278-d81a6ce0d921","1594","0.75","0.24390243902439024","30","3"
"1ed9e351-0000-4b75-8ecb-d15bd88df68a","1202","0.6153846153846154","0.21794871794871795","68","8"
"4b033a0a-c1ae-44d7-9662-72cbbfda024b","1380","0.25","0.1419753086419753","23","1"
"1cf51f50-24e4-48d0-95b3-1dad3ffa4bf5","720","0.4","0.0375","6","2"
"24661b81-6bee-4ad8-b3ab-53cb65005c51","1492","1","0.1","14","6"
"d1b815d1-2848-40d4-a555-66822d1becbc","1412","0.42857142857142855","0.1651376146788991","18","3"
"0ff11a61-6fe3-4c70-aba8-417023a5e54e","950","0.5882352941176471","0.14909090909090908","41","10"
"878b6808-48af-4047-ac35-bfc58bf92e7d","1222","1","0.1188118811881188","24","11"
"d6d72f5f-8f5d-4180-b514-f22ff5482902","1276","1","0.11711711711711711","13","2"
"73e7a2ad-d11c-4867-b97d-f971809da778","1042","0.42857142857142855","0.14285714285714285","28","3"
"f7f76f39-a0de-4bda-86b6-0f291892fcec","1190","1","0.051094890510948905","7","3"
"69b409b3-fa16-4c79-8b46-215a7036ed46","1378","0.625","0.1694915254237288","30","5"
"30b24e8e-3b0e-4d8e-90f3-f66eb7c1858c","1480","1","0.1610738255033557","24","6"
"4b515bb0-f275-4400-8032-3173b799ab40","1554","0.4","0.1568627450980392","16","2"
"b1544f21-7e98-461b-aed5-e748b0168c52","2154","1","0.38095238095238093","32","10"
"454a8902-8120-4373-96ee-bbf352b04e8d","1114","1","0.05844155844155844","9","4"
"9fc28e1f-f4ea-4bf8-9442-a36dba3b3b29","772","0.5","0.06878306878306878","13","1"
"53f7c868-b03e-4fc2-8dcf-a75bbfa3272b","916","0","0.05434782608695652","5","0"
